,Star_name,Distance,Mass,Radius,star_name,distance,mass,radius,gravity
24,Castor,0052,2.8,2.4,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999,133.3252868206262
25,Gacrux,0088,1.5,84.0,WISE J0254+0223,24.0,0.06204822,0.1952496999999999,0.058305519017766566
26,Bellatrix,0240,8.6,5.8,DEN 0255-4700,16.2,0.07636704,0.0996801099999999,70.11637302474244
27,Elnath,0130,5.0,4.2,2MASS J03185403-3421292 [de],45.0,0.046774812,0.0996801099999999,77.74069202368877
28,Miaplacidus,0110,3.5,6.8,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999,20.759992757536956
29,Alnilam,2000,32.0,42.0,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,4.975404289516081
30,Gamma Velorum,1100,9.0,6.0,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,68.56729036489348
31,Alnair,0101,4.0,3.4,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335918999999999,94.90282403445465
32,Alioth,0081,2.9,4.2,2MASS J03284265+2302051 [de],98.0,0.051547752,0.1007077399999999,45.08960137373948
33,Alnitak,01050,33.0,20.0,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,22.627205820414854
34,Dubhe,0120,4.25,30.0,LP 944-20,20.9,0.069684924,0.1469510899999999,1.2951599291146547
35,Mirfak,0590,8.5,68.0,2MASP J0345432+254023,88.0,0.070639512,0.10790115,0.5041712526830403
36,Wezen,1600,17.0,200.0,Teide 1,380.0,0.05250234,0.3884441399999999,0.11656439362031894
37,Sargas,0270,5.7,26.0,2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999,2.3126245862715553
38,Kaus Australis,0140,3.5,6.8,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,20.759992757536956
39,Avior,0630,9.0,130.0,2MASS J04151954−0935066,18.6,0.02863764,0.0976248499999999,0.14606050018557193
40,Alkaid,0104,6.1,3.4,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,144.72680665254333
41,Menkalinan,081,2.39,2.77,2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999,85.43097080483021
42,Atria,0390,7.0,92.0,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999,0.22682941046987445
43,Alhena,0109,2.8,3.3,2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999,70.51915997124031
44,Peacock,0180,5.9,4.8,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,70.23385645015132
45,Alsephina[2],0080,2.4,2.9,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,78.26943965552645
46,Mirzam,0500,13.5,10.0,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999,37.02633679704249
47,Polaris,0430,5.4,39.0,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,0.973736667903813
48,Alphard,0180,3.0,50.0,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,0.32912299375148873
49,Mintaka,01200,24.0,16.5,2MASS J05160945-0445499 [de],73.0,0.044865636,0.0996801099999999,24.17799770442525
50,Scheat,0196,2.1,95.0,2MASS J0523−1403,40.0,0.064911984,0.10379063,0.0638188630543053
51,Almaaz,0653,15.0,140.0,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,0.20989986846395964
52,Rasalgethi,0360,2.8,280.0,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999,0.009795327194984781
53,Tau Ceti,011.9,0.783,0.893,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,269.29967110479345
54,Delta Pavonis,019.92,0.991,1.22,2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999,182.61269753187165
55,Ran,010.48,0.82,0.74,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,410.70254272616984
56,V382 Carinae,8900,20.0,485.0,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,0.023319728894426524
57,Delta Cephei,0887,4.5,44.5,UGPS J072227.51-054031.2,13.4,0.024819288,0.1007077399999999,0.6232603088337749
58,Mu Cephei,6000,19.2,972.0,2MASSI J0727182+171001 [de],29.6,0.039138108,0.0965972199999999,0.005573726798954914
59,Titawin,044.25,1.27,1.48,2MASS J07290002-3954043 [de],25.8,0.035319756,0.0965972199999999,159.02202111653529
60,P Cygni,5545,30.0,76.0,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1.4245281931764575
61,61 Cygni,011.41,0.7,0.665,2MASS J08251968+2115521 [de],35.0,0.049638576,0.1007077399999999,434.14192553949175
62,Polaris Australis,0281,1.59,3.74,LHS 2021,55.0,0.084003744,0.1181774499999999,31.176754176608036
63,R Coronae Borealis,4566,0.85,85.0,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999,0.032266960171714584
64,54 Piscium,036.1,0.76,0.94,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,235.9037604224493
65,Mira,0300,1.2,370.0,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,0.00240411244522636
66,Lacaille 8760,012.87,0.6,0.51,2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999,632.685493563031
67,II Pegasi,0130,0.8,3.4,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,18.98056480689093
68,VY Canis Majoris,3900,17.0,1420.0,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999,0.0023123267927061875
69,Pistol Star,25000,100.0,320.0,2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999,0.2678409779878652
70,S Doradus,169000,24.0,380.0,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,0.04558490218164664
71,Barnard's Star,05.98,0.14,0.2,2MASS J1047538+212423 [de],34.4,0.040092696,0.0965972199999999,959.9420651085089
72,Proxima Centauri,04.25,0.12,0.15,Luhman 16B,6.516,0.041047284,0.10481826,1462.7688611177277
